Site_ID,Date,Time,latitude,longitude,Soil Salinity,pH,Soil Zone,Elevation.m,Location of nearest observation well,ion Concentration in groundwater (mg/L),Major Salts in groundwater,Anion,2017 Well groundwater depth,dugout elevation above groundwater,Surface_Sal.ppt
5,24-Aug-17,10:03,51.37151,-102.58316,moderate,alkaline,dark grey,484,Yorkton,1030,HCO3,HCO3,497.5,-13.5,1.88
20,24-Jul-17,11:41,50.10833,-102.04143,very slight,unclassified,black,619,Forget,501,"CaHCO3, MgHCO3",HCO4,604.5,14.5,0.74
36,10-Aug-17,15:05,52.5244,-105.21877,very slight,alkaline,dark grey,539,Bruno,2430,"CaSO4, MgSO4",SO4,548,-9,1.06
49,24-Jul-17,13:15,50.02262,-101.88369,slight,unclassified,black,599,Forget,501,"CaHCO3, MgHCO3",HCO3,604.5,-5.5,0.75
51,24-Jul-17,16:19,49.99234,-101.90707,slight,unclassified,black,608,Forget,501,"CaHCO3, MgHCO3",HCO3,604.5,3.5,1.06
52,25-Jul-17,11:27,49.85824,-101.71194,slight,unclassified,black,590,Forget,501,"CaHCO3, MgHCO3",HCO3,604.5,-14.5,1.41
65,11-Aug-17,11:50,52.55178,-109.89581,very slight,slightly acid to neutral,dark brown,667,Bruno,2430,"CaSO4, MgSO4",SO4,548,119,0.12
68,8-Aug-17,9:30,50.63367,-104.68465,very slight,alkaline,brown,585,Regina,608,"CaHCO3, MgHCO3",HCO3,560.5,24.5,0.12
10A,24-Aug-17,12:25,51.77975,-103.42531,slight,alkaline,dark grey,533,Yorkton,1030,HCO3,HCO3,498.5,34.5,0.42
10B,24-Aug-17,13:14,51.77527,-103.46152,slight,alkaline,dark grey,533,Yorkton,1030,HCO3,HCO3,498.5,34.5,0.76
10C,24-Aug-17,10:30,51.80564,103.37831,very slight,alkaline,dark grey,532,Yorkton,1030,HCO3,HCO3,498.5,33.5,0.62
10D,24-Aug-17,11:39,51.80376,-103.40521,very slight,alkaline,dark grey,532,Yorkton,1030,HCO3,HCO3,498.5,33.5,2.27
14A,12-Jul-17,10:15 AM,51.04648,-104.65134,very slight,alkaline,brown,547,Regina,608,"CaHCO3, MgHCO3",HCO3,560.5,-13.5,3.07
14B,12-Jul-17,12:50,50.995,-104.68568,very slight,alkaline,black,562,Regina,608,"CaHCO3, MgHCO3",HCO3,560.5,1.5,0.67
15A,3-Aug-17,11:41,49.57961,-101.89367,slight,neutral to slightly alkaline,dark grey,617,Forget,501,"CaHCO3, MgHCO3",HCO3,604.5,12.5,0.87
15B,3-Aug-17,14:15,49.52981,-101.911,slight,neutral to slightly alkaline,dark grey,597,Forget,501,"CaHCO3, MgHCO3",HCO3,604.5,-7.5,0.57
22B,8-Aug-17,12:28,51.14319,105.65466,very slight,alkaline,brown,588.7,Simpson,267,CaHCO3,HCO3,492,96.7,0.95
24A,14-Aug-17,14:15,49.9192,-109.84868,slight,neutral to slightly alkaline,brown,807.4,Verlo,419,CaHCO3,HCO3,730,77.4,0.43
24B,14-Aug-17,13:00,49.91797,-109.85177,slight,neutral to slightly alkaline,brown,805,Verlo,419,CaHCO3,HCO3,730,75,0.12
26A,14-Aug-17,12:48,49.26151,-108.409,very slight,neutral to slightly alkaline,brown,964,Shaunavon,1090,"NaHCO3, NaSO4",HCO3,895,69,0.41
